Canada, Life tables (period 1x1), Females     Last modified: 20-Jul-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1921           0     0.10646  0.09958  0.35  100000    9958   93538  5816387  58.16
  1921           1     0.01559  0.01547  0.50   90042    1393   89345  5722849  63.56
  1921           2     0.00741  0.00738  0.50   88648     654   88321  5633504  63.55
  1921           3     0.00544  0.00543  0.50   87994     478   87755  5545183  63.02
  1921           4     0.00456  0.00455  0.50   87516     398   87317  5457428  62.36
  1921           5     0.00343  0.00343  0.50   87118     299   86969  5370111  61.64
  1921           6     0.00285  0.00285  0.50   86819     247   86696  5283142  60.85
  1921           7     0.00283  0.00283  0.50   86572     245   86450  5196446  60.02
  1921           8     0.00247  0.00247  0.50   86327     213   86221  5109997  59.19
  1921           9     0.00216  0.00216  0.50   86114     186   86021  5023776  58.34
  1921          10     0.00192  0.00192  0.50   85928     165   85846  4937755  57.46
  1921          11     0.00203  0.00202  0.50   85763     174   85677  4851909  56.57
  1921          12     0.00204  0.00204  0.50   85590     174   85503  4766232  55.69
  1921          13     0.00201  0.00201  0.50   85416     172   85330  4680729  54.80
  1921          14     0.00224  0.00224  0.50   85244     191   85148  4595400  53.91
  1921          15     0.00241  0.00241  0.50   85053     205   84950  4510252  53.03
  1921          16     0.00293  0.00292  0.50   84848     248   84724  4425302  52.16
  1921          17     0.00276  0.00276  0.50   84600     233   84483  4340578  51.31
  1921          18     0.00340  0.00339  0.50   84366     286   84223  4256095  50.45
  1921          19     0.00376  0.00376  0.50   84080     316   83922  4171871  49.62
  1921          20     0.00390  0.00389  0.50   83764     326   83601  4087949  48.80
  1921          21     0.00382  0.00382  0.50   83438     318   83279  4004348  47.99
  1921          22     0.00420  0.00419  0.50   83120     348   82946  3921069  47.17
  1921          23     0.00452  0.00451  0.50   82772     373   82585  3838123  46.37
  1921          24     0.00455  0.00454  0.50   82399     374   82211  3755537  45.58
  1921          25     0.00423  0.00422  0.50   82024     346   81851  3673326  44.78
  1921          26     0.00456  0.00455  0.50   81678     371   81493  3591475  43.97
  1921          27     0.00473  0.00472  0.50   81307     384   81115  3509982  43.17
  1921          28     0.00476  0.00475  0.50   80923     385   80731  3428867  42.37
  1921          29     0.00458  0.00457  0.50   80539     368   80355  3348136  41.57
  1921          30     0.00507  0.00506  0.50   80171     405   79968  3267781  40.76
  1921          31     0.00432  0.00431  0.50   79765     344   79593  3187813  39.96
  1921          32     0.00479  0.00477  0.50   79421     379   79232  3108220  39.14
  1921          33     0.00467  0.00466  0.50   79042     368   78858  3028988  38.32
  1921          34     0.00526  0.00524  0.50   78674     412   78468  2950130  37.50
  1921          35     0.00567  0.00566  0.50   78261     443   78040  2871662  36.69
  1921          36     0.00582  0.00581  0.50   77819     452   77593  2793622  35.90
  1921          37     0.00572  0.00571  0.50   77367     441   77146  2716029  35.11
  1921          38     0.00624  0.00622  0.50   76925     479   76686  2638883  34.30
  1921          39     0.00600  0.00599  0.50   76447     458   76218  2562197  33.52
  1921          40     0.00634  0.00632  0.50   75989     480   75749  2485979  32.71
  1921          41     0.00540  0.00538  0.50   75509     407   75305  2410230  31.92
  1921          42     0.00712  0.00709  0.50   75102     533   74836  2334924  31.09
  1921          43     0.00672  0.00670  0.50   74570     500   74320  2260088  30.31
  1921          44     0.00675  0.00673  0.50   74070     498   73821  2185769  29.51
  1921          45     0.00791  0.00788  0.50   73572     580   73282  2111948  28.71
  1921          46     0.00701  0.00699  0.50   72992     510   72737  2038666  27.93
  1921          47     0.00721  0.00719  0.50   72481     521   72221  1965930  27.12
  1921          48     0.00792  0.00789  0.50   71961     568   71677  1893709  26.32
  1921          49     0.00817  0.00814  0.50   71393     581   71102  1822032  25.52
  1921          50     0.00959  0.00954  0.50   70812     676   70474  1750930  24.73
  1921          51     0.00876  0.00872  0.50   70136     612   69830  1680456  23.96
  1921          52     0.01225  0.01217  0.50   69524     846   69101  1610626  23.17
  1921          53     0.01049  0.01043  0.50   68678     716   68320  1541525  22.45
  1921          54     0.01184  0.01177  0.50   67962     800   67562  1473205  21.68
  1921          55     0.01191  0.01184  0.50   67162     795   66764  1405643  20.93
  1921          56     0.01250  0.01242  0.50   66366     824   65954  1338879  20.17
  1921          57     0.01318  0.01309  0.50   65542     858   65113  1272925  19.42
  1921          58     0.01698  0.01684  0.50   64684    1089   64140  1207812  18.67
  1921          59     0.01573  0.01560  0.50   63595     992   63099  1143672  17.98
  1921          60     0.02082  0.02061  0.50   62603    1290   61958  1080573  17.26
  1921          61     0.01663  0.01649  0.50   61313    1011   60807  1018615  16.61
  1921          62     0.02007  0.01987  0.50   60302    1198   59702   957808  15.88
  1921          63     0.02162  0.02139  0.50   59103    1264   58471   898105  15.20
  1921          64     0.02494  0.02463  0.50   57839    1425   57127   839634  14.52
  1921          65     0.03070  0.03024  0.50   56414    1706   55561   782508  13.87
  1921          66     0.03115  0.03067  0.50   54708    1678   53869   726946  13.29
  1921          67     0.03343  0.03288  0.50   53031    1744   52159   673077  12.69
  1921          68     0.04291  0.04201  0.50   51287    2155   50209   620918  12.11
  1921          69     0.03706  0.03639  0.50   49132    1788   48238   570709  11.62
  1921          70     0.04952  0.04832  0.50   47344    2288   46201   522470  11.04
  1921          71     0.04176  0.04090  0.50   45057    1843   44135   476270  10.57
  1921          72     0.05345  0.05206  0.50   43214    2250   42089   432134  10.00
  1921          73     0.05454  0.05309  0.50   40964    2175   39877   390045   9.52
  1921          74     0.06237  0.06049  0.50   38789    2346   37616   350169   9.03
  1921          75     0.07151  0.06904  0.50   36443    2516   35185   312552   8.58
  1921          76     0.07811  0.07517  0.50   33927    2550   32652   277367   8.18
  1921          77     0.07631  0.07350  0.50   31377    2306   30224   244715   7.80
  1921          78     0.09791  0.09334  0.50   29071    2714   27714   214492   7.38
  1921          79     0.08011  0.07702  0.50   26357    2030   25342   186778   7.09
  1921          80     0.10438  0.09920  0.50   24327    2413   23120   161436   6.64
  1921          81     0.08738  0.08373  0.50   21914    1835   20996   138315   6.31
  1921          82     0.11500  0.10875  0.50   20079    2184   18987   117319   5.84
  1921          83     0.13025  0.12229  0.50   17895    2188   16801    98332   5.49
  1921          84     0.13812  0.12920  0.50   15707    2029   14692    81531   5.19
  1921          85     0.15246  0.14166  0.50   13678    1938   12709    66838   4.89
  1921          86     0.15674  0.14535  0.50   11740    1706   10887    54130   4.61
  1921          87     0.19871  0.18075  0.50   10034    1814    9127    43243   4.31
  1921          88     0.20092  0.18257  0.50    8220    1501    7470    34116   4.15
  1921          89     0.18709  0.17109  0.50    6719    1150    6144    26646   3.97
  1921          90     0.24434  0.21774  0.50    5570    1213    4963    20502   3.68
  1921          91     0.21224  0.19188  0.50    4357     836    3939    15538   3.57
  1921          92     0.25555  0.22660  0.50    3521     798    3122    11599   3.29
  1921          93     0.27445  0.24133  0.50    2723     657    2395     8477   3.11
  1921          94     0.29418  0.25646  0.50    2066     530    1801     6083   2.94
  1921          95     0.31472  0.27193  0.50    1536     418    1327     4282   2.79
