Canada, Life tables (period 1x1), Males     Last modified: 20-Jul-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1921           0     0.13910  0.12724  0.33  100000   12724   91475  5595434  55.95
  1921           1     0.01781  0.01765  0.50   87276    1540   86506  5503959  63.06
  1921           2     0.00852  0.00848  0.50   85735     727   85372  5417454  63.19
  1921           3     0.00611  0.00609  0.50   85008     518   84749  5332082  62.72
  1921           4     0.00474  0.00473  0.50   84490     400   84290  5247333  62.11
  1921           5     0.00383  0.00382  0.50   84090     321   83929  5163043  61.40
  1921           6     0.00363  0.00362  0.50   83769     304   83617  5079114  60.63
  1921           7     0.00318  0.00317  0.50   83465     265   83333  4995497  59.85
  1921           8     0.00261  0.00261  0.50   83201     217   83092  4912164  59.04
  1921           9     0.00245  0.00244  0.50   82983     203   82882  4829072  58.19
  1921          10     0.00214  0.00214  0.50   82780     177   82692  4746190  57.33
  1921          11     0.00222  0.00222  0.50   82603     183   82512  4663498  56.46
  1921          12     0.00210  0.00210  0.50   82420     173   82334  4580986  55.58
  1921          13     0.00217  0.00217  0.50   82247     178   82158  4498653  54.70
  1921          14     0.00208  0.00208  0.50   82069     171   81984  4416495  53.81
  1921          15     0.00252  0.00251  0.50   81898     206   81795  4334511  52.93
  1921          16     0.00274  0.00274  0.50   81692     223   81581  4252716  52.06
  1921          17     0.00358  0.00357  0.50   81469     291   81323  4171135  51.20
  1921          18     0.00351  0.00350  0.50   81178     284   81036  4089812  50.38
  1921          19     0.00359  0.00359  0.50   80894     290   80749  4008776  49.56
  1921          20     0.00367  0.00367  0.50   80603     296   80456  3928028  48.73
  1921          21     0.00417  0.00416  0.50   80308     334   80141  3847572  47.91
  1921          22     0.00381  0.00380  0.50   79973     304   79821  3767431  47.11
  1921          23     0.00421  0.00420  0.50   79669     334   79502  3687610  46.29
  1921          24     0.00371  0.00371  0.50   79335     294   79188  3608108  45.48
  1921          25     0.00397  0.00396  0.50   79041     313   78884  3528920  44.65
  1921          26     0.00400  0.00399  0.50   78728     314   78571  3450035  43.82
  1921          27     0.00416  0.00415  0.50   78414     325   78251  3371464  43.00
  1921          28     0.00439  0.00439  0.50   78089     342   77917  3293213  42.17
  1921          29     0.00394  0.00393  0.50   77746     306   77593  3215296  41.36
  1921          30     0.00400  0.00399  0.50   77441     309   77286  3137702  40.52
  1921          31     0.00358  0.00357  0.50   77132     276   76994  3060416  39.68
  1921          32     0.00415  0.00415  0.50   76856     319   76697  2983423  38.82
  1921          33     0.00404  0.00404  0.50   76537     309   76383  2906726  37.98
  1921          34     0.00385  0.00384  0.50   76228     293   76082  2830343  37.13
  1921          35     0.00507  0.00506  0.50   75936     384   75744  2754261  36.27
  1921          36     0.00453  0.00452  0.50   75552     341   75381  2678517  35.45
  1921          37     0.00429  0.00428  0.50   75211     322   75049  2603136  34.61
  1921          38     0.00592  0.00591  0.50   74888     442   74667  2528087  33.76
  1921          39     0.00466  0.00465  0.50   74446     346   74273  2453419  32.96
  1921          40     0.00648  0.00646  0.50   74100     478   73861  2379146  32.11
  1921          41     0.00530  0.00529  0.50   73622     389   73427  2305286  31.31
  1921          42     0.00673  0.00671  0.50   73232     491   72987  2231859  30.48
  1921          43     0.00555  0.00553  0.50   72741     402   72540  2158872  29.68
  1921          44     0.00570  0.00568  0.50   72339     411   72133  2086332  28.84
  1921          45     0.00766  0.00763  0.50   71928     549   71653  2014198  28.00
  1921          46     0.00700  0.00697  0.50   71379     498   71130  1942545  27.21
  1921          47     0.00714  0.00711  0.50   70881     504   70629  1871415  26.40
  1921          48     0.00859  0.00856  0.50   70377     602   70076  1800785  25.59
  1921          49     0.00820  0.00817  0.50   69775     570   69490  1730709  24.80
  1921          50     0.01074  0.01069  0.50   69205     740   68835  1661219  24.00
  1921          51     0.00815  0.00811  0.50   68466     555   68188  1592383  23.26
  1921          52     0.01126  0.01120  0.50   67910     761   67530  1524196  22.44
  1921          53     0.01079  0.01073  0.50   67149     721   66789  1456666  21.69
  1921          54     0.01183  0.01176  0.50   66429     781   66038  1389877  20.92
  1921          55     0.01379  0.01369  0.50   65647     899   65198  1323839  20.17
  1921          56     0.01522  0.01510  0.50   64749     978   64260  1258641  19.44
  1921          57     0.01442  0.01431  0.50   63771     913   63314  1194381  18.73
  1921          58     0.01779  0.01764  0.50   62858    1109   62303  1131067  17.99
  1921          59     0.01783  0.01767  0.50   61749    1091   61204  1068764  17.31
  1921          60     0.02134  0.02111  0.50   60658    1281   60018  1007560  16.61
  1921          61     0.01870  0.01852  0.50   59377    1100   58827   947543  15.96
  1921          62     0.02371  0.02343  0.50   58278    1365   57595   888715  15.25
  1921          63     0.02506  0.02475  0.50   56912    1409   56208   831120  14.60
  1921          64     0.02533  0.02501  0.50   55504    1388   54810   774912  13.96
  1921          65     0.03364  0.03309  0.50   54116    1790   53220   720103  13.31
  1921          66     0.02924  0.02882  0.50   52325    1508   51571   666882  12.74
  1921          67     0.03549  0.03487  0.50   50817    1772   49931   615311  12.11
  1921          68     0.04100  0.04018  0.50   49045    1971   48060   565380  11.53
  1921          69     0.03947  0.03870  0.50   47075    1822   46164   517320  10.99
  1921          70     0.05145  0.05016  0.50   45253    2270   44118   471156  10.41
  1921          71     0.04400  0.04305  0.50   42983    1850   42058   427039   9.94
  1921          72     0.05852  0.05685  0.50   41132    2339   39963   384981   9.36
  1921          73     0.06109  0.05928  0.50   38794    2300   37644   345018   8.89
  1921          74     0.06605  0.06394  0.50   36494    2334   35328   307374   8.42
  1921          75     0.07536  0.07262  0.50   34161    2481   32920   272046   7.96
  1921          76     0.08329  0.07996  0.50   31680    2533   30413   239126   7.55
  1921          77     0.08554  0.08203  0.50   29147    2391   27951   208713   7.16
