"males"	"females"
"0"	195176	183999
"1"	188275	177464
"2"	187834	177790
"3"	186656	176754
"4"	188114	178140
"5"	191968	181515
"6"	197285	186309
"7"	201747	190723
"8"	205678	194070
"9"	208177	197156
"10"	211414	199964
"11"	215234	203830
"12"	221504	209860
"13"	228626	216805
"14"	237308	225251
"15"	247941	235748
"16"	259995	247280
"17"	273174	259704
"18"	286155	272216
"19"	300800	286669
"20"	313843	298921
"21"	325738	311271
"22"	335158	320576
"23"	341474	327586
"24"	343451	329950
"25"	344171	331302
"26"	342277	329593
"27"	339381	327588
"28"	336343	325098
"29"	334235	323756
"30"	332399	323281
"31"	330997	322993
"32"	329782	323250
"33"	330740	325218
"34"	328772	324112
"35"	323808	320206
"36"	318458	316152
"37"	314270	312735
"38"	307313	306649
"39"	302290	302824
"40"	298092	299041
"41"	291570	292891
"42"	282663	284231
"43"	273056	275065
"44"	264994	267039
"45"	258330	260005
"46"	252123	253850
"47"	246534	248058
"48"	244817	246854
"49"	245180	248111
"50"	240807	244581
"51"	237949	242777
"52"	238251	244378
"53"	234289	241173
"54"	227689	235048
"55"	219450	227351
"56"	210373	218168
"57"	207187	215749
"58"	191318	200479
"59"	179934	190348
"60"	178861	190951
"61"	183891	199932
"62"	179773	197796
"63"	190803	210901
"64"	198323	220796
"65"	200904	225632
"66"	197800	223054
"67"	195114	223076
"68"	190379	220404
"69"	183515	215962
"70"	174645	209048
"71"	167320	204461
"72"	158125	196948
"73"	150061	191007
"74"	141173	183371
"75"	132937	178223
"76"	123016	169080
"77"	112586	160482
"78"	100432	148363
"79"	88621	137457
"80"	77046	124741
"81"	66222	114130
"82"	57680	103684
"83"	51592.32	96854.53
"84"	46868.41	90811.63
"85"	41105.53	83994.66
"86"	35591.34	74133.06
"87"	30252.48	66509.34
"88"	24812.87	55969.42
"89"	20065.56	48847.04
"90"	15813.46	38576.11
"91"	12457.69	31180.66
"92"	9182.57	24173.76
"93"	6523.02	18509.82
"94"	4819.6	13791.04
"95"	3179.43	9756.94
"96"	2157.98	7116.02
"97"	1448.37	5038.1
"98"	922.9	2895.81
"99"	604.4	2113.87
"100"	253.41	1010.28
"101"	153.91	573.99
"102"	96.6	373.48
"103"	49.69	232.11
"104"	29.49	113.19
"105"	9.35	69.43
"106"	5.6	38.8
"107"	5	24
"108"	2	9
"109"	1	10
"110"	2	6
